"Postcode","Age Group","Number of People"
3125,"55_64",1198
3125,"65_74",954
3125,"75_84",807
3126,"0_4",319
3126,"5_14",1082
3126,"15_19",646
3126,"20_24",599
3126,"25_34",673
3126,"35_44",800
3126,"45_54",1206
3126,"55_64",1111
3126,"65_74",844
3126,"75_84",433
3127,"0_4",915
3127,"5_14",2490
3127,"15_19",1307
3127,"20_24",1312
3127,"25_34",1988
3127,"35_44",2348
3127,"45_54",2832
3127,"55_64",2414
3127,"65_74",1593
3127,"75_84",801
3128,"0_4",947
3128,"5_14",1807
3128,"15_19",1335
3128,"20_24",2420
3128,"25_34",3955
3128,"35_44",2407
3128,"45_54",2380
3128,"55_64",1944
3128,"65_74",1191
3128,"75_84",911
3129,"0_4",1030
3129,"5_14",2074
3129,"15_19",1124
3129,"20_24",1220
3129,"25_34",2404
3129,"35_44",2380
3129,"45_54",2459
3129,"55_64",1970
3129,"65_74",1343
3129,"75_84",929
3130,"0_4",1822
3130,"5_14",4141
3130,"15_19",2032
3130,"20_24",1942
3130,"25_34",3854
3130,"35_44",4417
3130,"45_54",4489
3130,"55_64",3475
3130,"65_74",2571
3130,"75_84",2170
3131,"0_4",1394
3131,"5_14",2585
3131,"15_19",1204
3131,"20_24",1329
3131,"25_34",3254
3131,"35_44",3371
3131,"45_54",2900
3131,"55_64",2293
3131,"65_74",1868
3131,"75_84",1474
3132,"0_4",1114
3132,"5_14",1890
3132,"15_19",802
3132,"20_24",893
3132,"25_34",2546
3132,"35_44",2544
3132,"45_54",2175
3132,"55_64",1697
3132,"65_74",1347
3132,"75_84",847
3133,"0_4",1108
3133,"5_14",2858
3133,"15_19",1480
3133,"20_24",1259
3133,"25_34",2190
3133,"35_44",2984
3133,"45_54",2978
3133,"55_64",2642
3133,"65_74",2631
3133,"75_84",1435
3134,"0_4",2008
3134,"5_14",4121
3134,"15_19",2063
3134,"20_24",1973
3134,"25_34",4403
3134,"35_44",4682
3134,"45_54",4567
3134,"55_64",3793
3134,"65_74",2814
3134,"75_84",1547
3135,"0_4",1387
3135,"5_14",2413
3135,"15_19",1166
3135,"20_24",1106
3135,"25_34",2600
3135,"35_44",3022
3135,"45_54",2793
3135,"55_64",2162
3135,"65_74",1814
3135,"75_84",1046
3136,"0_4",2984
3136,"5_14",5180
3136,"15_19",2656
3136,"20_24",2684
3136,"25_34",6208
3136,"35_44",6001
3136,"45_54",5936
3136,"55_64",5204
3136,"65_74",4046
3136,"75_84",2387
3137,"0_4",900
3137,"5_14",1671
3137,"15_19",816
3137,"20_24",898
3137,"25_34",1943
3137,"35_44",1726
3137,"45_54",1852
3137,"55_64",1641
3137,"65_74",1279
3137,"75_84",697
3138,"0_4",1536
3138,"5_14",2796
3138,"15_19",1460
3138,"20_24",1490
3138,"25_34",3332
3138,"35_44",2912
3138,"45_54",2861
3138,"55_64",2533
3138,"65_74",1892
3138,"75_84",847
3139,"0_4",884
3139,"5_14",1930
3139,"15_19",937
3139,"20_24",840
3139,"25_34",1629
3139,"35_44",1847
3139,"45_54",2037
3139,"55_64",1794
3139,"65_74",1189
3139,"75_84",483
3140,"0_4",940
3140,"5_14",2127
3140,"15_19",1139
3140,"20_24",1065
3140,"25_34",1993
3140,"35_44",2176
3140,"45_54",2439
3140,"55_64",1929
3140,"65_74",1513
3140,"75_84",857
3141,"0_4",812
3141,"5_14",979
3141,"15_19",949
3141,"20_24",2870
3141,"25_34",8853
3141,"35_44",3533
3141,"45_54",2397
3141,"55_64",1981
3141,"65_74",1583
3141,"75_84",902
3142,"0_4",395
3142,"5_14",1037
3142,"15_19",621
3142,"20_24",949
3142,"25_34",2048
3142,"35_44",1374
3142,"45_54",1579
3142,"55_64",1675
3142,"65_74",1742
3142,"75_84",977
3143,"0_4",461
3143,"5_14",779
3143,"15_19",403
3143,"20_24",657
3143,"25_34",1888
3143,"35_44",1339
3143,"45_54",1096
3143,"55_64",890
3143,"65_74",833
3143,"75_84",483
3144,"0_4",537
3144,"5_14",1350
3144,"15_19",599
3144,"20_24",651
3144,"25_34",1488
3144,"35_44",1384
3144,"45_54",1417
3144,"55_64",1217
3144,"65_74",1091
3144,"75_84",769
3145,"0_4",1148
3145,"5_14",2839
3145,"15_19",1500
3145,"20_24",2688
3145,"25_34",3292
3145,"35_44",2911
3145,"45_54",3236
3145,"55_64",2445
3145,"65_74",1735
3145,"75_84",992
3146,"0_4",1320
3146,"5_14",3448
3146,"15_19",1662
3146,"20_24",1753
3146,"25_34",3582
3146,"35_44",3393
3146,"45_54",3729
3146,"55_64",2828
3146,"65_74",1952
3146,"75_84",1062
3147,"0_4",926
3147,"5_14",1991
3147,"15_19",856
3147,"20_24",928
3147,"25_34",1842
3147,"35_44",2103
3147,"45_54",2142
3147,"55_64",1646
3147,"65_74",1082
3147,"75_84",665
3148,"0_4",564
3148,"5_14",779
3148,"15_19",395
3148,"20_24",817
3148,"25_34",1952
3148,"35_44",1282
3148,"45_54",959
3148,"55_64",772
3148,"65_74",571
3148,"75_84",417
